number;style;year;year_dt;nr_token;nr_adj;nr_noun;nr_verb;nr_adverb;per_verb;per_noun;per_adj;per_adverb;flesch_reading_ease;smog_index;flesch_kincaid_grade;coleman_liau_index;automated_readability_index;dale_chall_readability_score;difficult_words;linsear_write_formula;gunning_fog;text_standard
92;Gedicht ;1782;1782-01-01;768.0;66.0;182.0;78.0;42.0;10.15625;23.697916666666668;8.59375;5.46875;44.58;9.4;13.6;13.58;17.7;8.34;148.0;4.2;19.18;14.0
93;Historie ;1790;1790-01-01;11180.0;1008.0;2372.0;1848.0;754.0;16.529516994633273;21.216457960644007;9.016100178890877;6.744186046511628;57.03;12.1;13.0;15.1;20.5;7.67;1743.0;14.75;18.69;13.0
94;Brief ;1781;1781-01-01;3402.0;301.0;635.0;549.0;270.0;16.137566137566136;18.66549088771311;8.847736625514402;7.936507936507936;56.02;12.1;13.4;14.46;20.5;8.26;651.0;20.0;20.46;20.0
95;Nacherz ;1792;1792-01-01;7708.0;667.0;1716.0;1080.0;445.0;14.01141670991178;22.26258432797094;8.65334717176959;5.77322262584328;78.18;8.0;6.9;12.01;12.7;7.01;1129.0;6.857142857142857;13.59;7.0
96;Nacherz ;1792;1792-01-01;9050.0;873.0;1942.0;1323.0;559.0;14.61878453038674;21.4585635359116;9.646408839779005;6.176795580110498;59.57;10.1;12.0;12.71;17.9;7.62;1396.0;19.0;17.88;18.0
97;Gedicht ;1782;1782-01-01;395.0;31.0;114.0;53.0;22.0;13.41772151898734;28.860759493670884;7.848101265822785;5.5696202531645564;53.04;10.3;12.4;13.64;18.0;8.23;77.0;5.555555555555555;18.9;10.0
98;Gedicht ;1805;1805-01-01;533.0;32.0;162.0;60.0;14.0;11.25703564727955;30.393996247654783;6.0037523452157595;2.626641651031895;15.78;12.0;20.5;12.66;22.6;8.57;88.0;5.666666666666667;22.97;20.0
99;Philo ;1784;1784-01-01;3320.0;365.0;786.0;490.0;233.0;14.759036144578312;23.67469879518072;10.993975903614457;7.018072289156626;51.25;12.8;15.2;15.62;23.7;8.85;718.0;21.0;23.26;16.0
100;Philo ;1790;1790-01-01;7532.0;676.0;1473.0;1216.0;591.0;16.144450345193842;19.556558682952737;8.975039830058419;7.846521508231546;47.8;13.4;16.5;14.81;24.5;8.19;1214.0;20.666666666666668;22.52;17.0
101;Philo ;1780;1780-01-01;10898.0;1090.0;2512.0;1662.0;869.0;15.250504679757753;23.05010093595155;10.001835199119103;7.973940172508717;45.53;13.8;15.3;15.56;22.4;7.98;1813.0;14.75;20.3;15.0
102;Brief ;1781;1781-01-01;562.0;42.0;90.0;110.0;56.0;19.572953736654803;16.01423487544484;7.473309608540925;9.9644128113879;68.54;10.7;10.6;12.13;16.9;8.37;118.0;12.2;19.63;11.0
103;Gedicht ;1785;1785-01-01;309.0;31.0;76.0;38.0;10.0;12.297734627831716;24.59546925566343;10.032362459546926;3.236245954692557;6.34;14.3;24.2;15.28;29.0;10.42;80.0;18.666666666666668;30.23;15.0
104;Nacherz ;1788;1788-01-01;14016.0;976.0;2735.0;2064.0;956.0;14.726027397260275;19.513413242009133;6.963470319634704;6.820776255707763;39.13;7.9;11.6;11.07;10.9;6.21;1541.0;3.2142857142857144;10.69;11.0
105;Philo ;1788;1788-01-01;3548.0;317.0;651.0;569.0;300.0;16.037204058624578;18.34836527621195;8.934611048478017;8.455467869222097;55.41;12.5;13.6;14.05;20.5;8.16;648.0;20.0;20.38;14.0
106;Philo ;1790;1790-01-01;5654.0;494.0;1203.0;872.0;455.0;15.422709586133712;21.27697205518217;8.737177219667492;8.047400070746374;56.93;11.3;13.0;14.28;19.8;7.81;932.0;20.0;19.08;20.0
107;Philo ;1802;1802-01-01;2179.0;201.0;444.0;359.0;216.0;16.475447452960076;20.376319412574578;9.224414869206058;9.912804038549794;58.45;11.8;12.4;15.15;19.9;8.2;424.0;17.666666666666668;19.67;20.0
108;Brief ;1781;1781-01-01;445.0;42.0;73.0;72.0;37.0;16.179775280898877;16.40449438202247;9.438202247191011;8.314606741573034;68.3;9.5;8.7;11.72;12.7;8.2;99.0;10.2;17.0;9.0
109;Historie ;1788;1788-01-01;108957.0;9272.0;23469.0;16902.0;7201.0;15.512541644869078;21.539689969437486;8.509779087162826;6.60902925007113;52.36;12.9;14.8;15.91;23.4;6.74;9152.0;18.666666666666668;17.6;15.0
110;Brief ;1780;1780-01-01;3741.0;336.0;617.0;643.0;352.0;17.18791766907244;16.49291633253141;8.981555733761027;9.409248863940125;46.78;12.7;16.9;15.22;25.4;8.63;692.0;20.0;23.91;17.0
111;Brief ;1781;1781-01-01;222.0;21.0;31.0;38.0;15.0;17.117117117117115;13.963963963963963;9.459459459459458;6.756756756756756;51.55;10.5;15.1;12.78;21.3;8.84;47.0;8.166666666666666;23.14;9.0
112;Nacherz ;1800;1800-01-01;18809.0;1486.0;3664.0;2830.0;1321.0;15.045988622467966;19.480036152905523;7.900473177734064;7.023233558402892;39.43;7.5;11.5;10.49;10.3;6.12;1957.0;3.2;10.37;12.0
113;Brief ;1780;1780-01-01;668.0;51.0;91.0;126.0;65.0;18.862275449101798;13.622754491017965;7.634730538922156;9.73053892215569;63.26;10.5;12.7;11.09;18.3;7.76;104.0;18.333333333333332;19.52;8.0
114;Gedicht ;1782;1782-01-01;694.0;66.0;198.0;57.0;28.0;8.213256484149856;28.530259365994233;9.510086455331411;4.034582132564841;-2.26;12.7;29.5;14.75;37.0;10.29;141.0;18.333333333333332;34.49;13.0
115;Philo ;1786;1786-01-01;8671.0;848.0;1910.0;1298.0;633.0;14.969438357744206;22.027447814554264;9.779725521854457;7.300196055818245;61.5;11.7;11.3;14.92;18.5;7.85;1579.0;13.4;17.95;12.0
116;Gedicht ;1786;1786-01-01;601.0;39.0;142.0;93.0;24.0;15.474209650582363;23.62728785357737;6.489184692179701;3.9933444259567388;38.59;10.5;15.9;13.3;20.1;8.65;119.0;6.857142857142857;21.6;16.0
117;Brief ;1772;1772-01-01;239.0;24.0;46.0;32.0;18.0;13.389121338912133;19.24686192468619;10.0418410041841;7.531380753138075;21.27;15.9;24.7;17.54;35.5;10.88;64.0;20.666666666666668;34.2;20.0
118;Philo ;1793;1793-01-01;18297.0;1528.0;3727.0;2803.0;1775.0;15.319451276165491;20.369459474230748;8.351095808055966;9.701043886976008;43.74;14.6;18.1;15.04;26.7;7.58;2003.0;14.25;22.05;15.0
119;Philo ;1791;1791-01-01;4424.0;446.0;921.0;662.0;395.0;14.96383363471971;20.818264014466546;10.08137432188065;8.928571428571429;53.58;13.2;14.3;15.44;22.5;8.58;899.0;15.0;21.92;15.0
